T,TM,Tm,SLP,H,VV,V,VM,PM2.5,SO2,NO2,PM10,Class,NumClass
25.6,34.3,20.1,1013.3,48,1.9,5.2,14.8,96.9,4,34,251,Poor,4
27.1,34.8,20.1,1009.7,53,1.9,3.7,14.8,125.4,5,67,309,Very Poor,5
26.9,33,22,1008.6,56,1.8,5.4,13,156.1,4,78,229,Very Poor,5
27.8,34.1,20.4,1009.1,45,2.3,4.4,11.1,296.7,3,79,99,Sever,6
27.9,35.6,20.5,1007.2,46,1.8,2,7.6,274.9,2,79,140,Sever,6
29.5,35.6,21.8,1006.1,42,1.8,3.1,7.6,211.6,4,59,169,Very Poor,5
28.3,36.4,21.4,1007.6,51,1.6,7.6,20.6,43.9,4,60,272,Poor,4
24.2,36.4,21.8,1008.4,76,1.3,5,14.8,174.4,3,103,203,Very Poor,5
27,36.4,19,1006.8,46,1.6,10.2,18.3,254.8,4,41,291,Sever,6
27.6,34.8,19.6,1006.8,39,1.9,5.7,16.5,291.4,4,54,179,Sever,6
27.6,34.9,18.6,1007.3,42,1.9,5.2,13,68.8,6,100,318,Poor,4
28.5,36,19.2,1007.5,33,1.8,9.3,33.5,277.2,4,48,227,Sever,6
28.9,37.5,20.2,1005.2,40,1.9,1.5,7.6,37.2,4,52,132,Moderate,3
31.8,40.5,22.9,1003.4,38,1.4,3,11.1,227.4,4,76,90,Very Poor,5
30.2,40.5,25,1006.4,43,1.1,14.1,22.2,59,7,71,100,Satisfactory,2
29.4,37.2,23.6,1005,52,1.4,7.2,18.3,17.4,3,50,63,Satisfactory,2
32.4,39.4,24.9,1001.9,45,1.9,2.8,9.4,238.5,4,56,312,Very Poor,5
33.8,40.8,26.4,1001.9,33,1.8,11.3,20.6,18.48,4,52,417,Very Poor,5
33.6,41.1,27.6,1003.4,34,1.4,9.3,29.4,77.58,4,53,360,Very Poor,5
34.3,41.1,26.4,1002.8,32,1.9,8.3,18.3,226.51,5,66,404,Very Poor,5
33.4,40.3,25.5,1000.1,36,2.4,6.5,14.8,286.91,23,112,534,Sever,6
34.7,41.1,25.9,999.3,31,1.9,12,20.6,166.22,4,29,91,Very Poor,5
31.5,40,26.4,1003.2,59,1.9,5.4,11.1,60.73,12,82,200,Moderate,3
30.8,39.2,25.4,1003.9,50,1.9,13.3,22.2,8.06,6,104,133,Moderate,3
31,36.7,23.8,1002.8,44,2.3,5.6,14.8,133.1,4,38,296,Very Poor,5
32,38.8,24.7,1000.4,43,2.6,3.9,14.8,47.9,4,54,244,Moderate,3
33.8,41.2,26.4,998.8,33,1.9,8,20.6,12.9,2,50,288,Poor,4
34.9,42.2,26.7,998.8,30,2.3,9.1,22.2,285.7,4,35,167,Sever,6
35.4,42.4,27.6,998.6,30,2.3,11.1,18.3,151.2,4,58,203,Very Poor,5
36.2,43.1,29.6,998.7,31,1.9,9.6,18.3,120.8,4,35,93,Poor,4
33.7,40,28.9,1002.1,40,2.6,5.4,16.5,287.9,4,36,93,Sever,6
34,41,28.2,1001.7,37,1.4,4.8,14.8,103.7,2,27,75,Poor,4
